Record	test1
Application	Generic
Creation date	27/03/2024 14:36:45
Exercises	{
#	Name	Start,sec	Length,sec	Start time
1	Combined	0.000	33.680	14:35:14.97
}

Frequency,Hz	450.000
Count	15156

Time,ms	Marker 1.x,mm	Marker 1.y,mm	Marker 1.z,mm	Marker 2.x,mm	Marker 2.y,mm	Marker 2.z,mm	Marker 3.x,mm	Marker 3.y,mm	Marker 3.z,mm	Marker 4.x,mm	Marker 4.y,mm	Marker 4.z,mm	Biceps,mV	Triceps,mV	Flexor Digitorum,mV
49	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	-6.0	28.0	-9.0
51	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	143.0	-62.0	33.0
53	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	478.0	-156.0	55.0
56	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	596.0	-127.0	20.0
58	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	169.0	-10.0	8.0
60	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	-305.0	133.0	-18.0
62	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	-572.0	161.0	-6.0
64	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	-465.0	143.0	-25.0
67	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	-250.0	87.0	-10.0
69	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	3.0	29.0	-11.0
71	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	170.0	-52.0	25.0
73	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	456.0	-137.0	26.0
76	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	617.0	-116.0	21.0
78	NaN	NaN	NaN	707.9	-46.5	-386.8	631.2	136.1	-515.4	667.0	-116.1	-487.1	251.0	5.0	-13.0
80	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	-235.0	146.0	-14.0
82	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	-536.0	161.0	-3.0
84	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	-526.0	138.0	-7.0
87	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	-292.0	78.0	-46.0
89	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	-47.0	18.0	39.0
91	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	110.0	-56.0	15.0
93	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	434.0	-150.0	45.0
96	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	587.0	-136.0	31.0
98	NaN	NaN	NaN	707.8	-46.7	-386.8	631.3	136.1	-515.1	667.1	-116.0	-487.0	232.0	-6.0	-7.0
100	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	-247.0	133.0	-29.0
102	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	-543.0	176.0	-12.0
104	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	-504.0	142.0	-10.0
107	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	-296.0	66.0	18.0
109	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	-52.0	4.0	38.0
111	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	153.0	-76.0	27.0
113	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	472.0	-154.0	44.0
116	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	624.0	-162.0	36.0
118	NaN	NaN	NaN	707.9	-46.5	-386.8	631.3	136.3	-515.0	667.0	-116.1	-486.9	219.0	-20.0	8.0
120	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	-284.0	119.0	0.0
122	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	-561.0	162.0	-26.0
124	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	-477.0	138.0	-3.0
127	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	-237.0	82.0	-19.0
129	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	19.0	22.0	1.0
131	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	183.0	-60.0	7.0
133	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	492.0	-139.0	40.0
136	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	650.0	-148.0	30.0
138	NaN	NaN	NaN	707.8	-46.6	-386.7	631.3	136.3	-515.0	667.1	-116.0	-486.7	220.0	-24.0	7.0
140	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	-288.0	113.0	-13.0
142	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	-553.0	165.0	-14.0
144	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	-441.0	142.0	-22.0
147	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	-224.0	92.0	-18.0
149	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	65.0	17.0	7.0
151	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	181.0	-52.0	51.0
153	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	500.0	-146.0	58.0
156	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	663.0	-136.0	-15.0
158	706.5	-46.2	-386.5	707.7	-46.7	-386.8	631.1	136.3	-515.1	667.1	-116.0	-486.7	241.0	-19.0	19.0
160	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	-269.0	128.0	-15.0
162	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	-600.0	152.0	-9.0
164	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	-502.0	145.0	-11.0
167	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	-260.0	73.0	2.0
169	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	-9.0	5.0	-5.0
171	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	163.0	-50.0	-32.0
173	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	475.0	-142.0	61.0
176	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	636.0	-146.0	27.0
178	706.3	-46.1	-386.8	707.7	-46.4	-387.0	631.3	136.3	-514.8	667.2	-116.1	-486.8	212.0	-31.0	-13.0
180	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	-297.0	118.0	-15.0
182	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	-559.0	159.0	-22.0
184	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	-469.0	148.0	-22.0
187	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	-239.0	82.0	1.0
189	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	51.0	24.0	1.0
191	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	214.0	-51.0	16.0
193	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	469.0	-144.0	58.0
196	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	642.0	-133.0	-11.0
198	706.4	-46.3	-386.7	707.7	-46.6	-387.0	631.2	136.2	-515.0	666.9	-116.2	-487.0	192.0	-9.0	-54.0
200	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	-314.0	117.0	-33.0
202	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	-575.0	155.0	-7.0
204	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	-472.0	126.0	35.0
207	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	-224.0	87.0	8.0
209	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	36.0	19.0	-33.0
211	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	195.0	-43.0	10.0
213	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	476.0	-139.0	29.0
216	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	624.0	-156.0	22.0
218	706.4	-46.4	-386.7	707.7	-46.7	-386.9	631.4	136.2	-514.8	667.2	-115.8	-486.6	220.0	-13.0	16.0
220	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	-267.0	114.0	-6.0
222	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	-566.0	165.0	-10.0
224	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	-477.0	147.0	-9.0
227	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	-254.0	85.0	52.0
229	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	-15.0	18.0	12.0
231	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	148.0	-52.0	7.0
233	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	469.0	-136.0	50.0
236	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	660.0	-146.0	32.0
238	706.3	-46.5	-386.7	707.7	-46.8	-386.9	631.3	136.3	-515.0	667.1	-115.9	-486.6	250.0	-28.0	0.0
240	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	-251.0	133.0	-22.0
242	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	-536.0	169.0	-9.0
244	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	-476.0	134.0	-12.0
247	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	-234.0	84.0	24.0
249	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	29.0	21.0	-2.0
251	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	182.0	-43.0	5.0
253	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	459.0	-134.0	20.0
256	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	623.0	-137.0	38.0
258	706.4	-46.3	-386.7	707.7	-46.8	-386.9	631.4	136.2	-514.9	667.1	-116.0	-486.4	228.0	-37.0	-6.0
260	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	-267.0	114.0	-6.0
262	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	-573.0	157.0	-12.0
264	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	-502.0	142.0	-4.0
267	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	-286.0	84.0	-7.0
269	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	-5.0	35.0	-22.0
271	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	147.0	-26.0	-19.0
273	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	454.0	-122.0	32.0
276	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	653.0	-132.0	51.0
278	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.3	-515.0	667.1	-115.7	-486.5	245.0	-32.0	14.0
280	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	-269.0	112.0	16.0
282	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	-566.0	175.0	-5.0
284	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	-520.0	136.0	-3.0
287	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	-294.0	94.0	2.0
289	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	-27.0	36.0	-6.0
291	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	136.0	-33.0	9.0
293	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	449.0	-132.0	14.0
296	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	598.0	-128.0	37.0
298	706.2	-46.6	-386.6	707.6	-46.7	-386.8	631.4	136.4	-515.1	667.3	-115.7	-486.3	225.0	-23.0	1.0
300	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-268.0	136.0	9.0
302	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-601.0	167.0	-21.0
304	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-527.0	147.0	-6.0
307	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-319.0	80.0	-2.0
309	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-51.0	23.0	0.0
311	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	112.0	-41.0	37.0
313	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	431.0	-125.0	29.0
316	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	598.0	-131.0	50.0
318	706.3	-46.4	-386.7	707.7	-46.6	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	207.0	-15.0	21.0
320	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	-284.0	127.0	-21.0
322	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	-608.0	163.0	-5.0
324	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	-496.0	153.0	-28.0
327	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	-280.0	92.0	-5.0
329	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	21.0	38.0	7.0
331	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	198.0	-32.0	18.0
333	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	471.0	-109.0	22.0
336	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	661.0	-123.0	12.0
338	706.2	-46.5	-386.9	707.7	-46.7	-386.8	631.4	136.7	-515.2	667.3	-115.7	-486.3	256.0	-25.0	30.0
340	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-264.0	116.0	1.0
342	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-551.0	174.0	-12.0
344	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-515.0	158.0	-34.0
347	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-306.0	74.0	-55.0
349	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	-23.0	36.0	45.0
351	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	199.0	-35.0	20.0
353	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	525.0	-126.0	31.0
356	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	720.0	-132.0	22.0
358	706.2	-46.4	-386.9	707.6	-46.8	-386.8	631.4	136.8	-515.2	667.3	-115.7	-486.3	339.0	-2.0	1.0
360	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	-219.0	102.0	-11.0
362	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	-576.0	166.0	-46.0
364	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	-511.0	116.0	30.0
367	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	-263.0	79.0	17.0
369	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	-28.0	15.0	5.0
371	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	137.0	-46.0	23.0
373	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	450.0	-141.0	51.0
376	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	688.0	-173.0	32.0
378	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.9	-515.2	667.3	-115.6	-486.2	279.0	-45.0	12.0
380	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	-233.0	97.0	-12.0
382	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	-548.0	149.0	-19.0
384	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	-484.0	135.0	5.0
387	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	-267.0	70.0	5.0
389	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	-9.0	-6.0	4.0
391	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	171.0	-74.0	-8.0
393	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	480.0	-167.0	52.0
396	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	694.0	-174.0	42.0
398	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.4	-515.3	667.4	-115.6	-486.0	301.0	-26.0	11.0
400	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	-202.0	138.0	-51.0
402	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	-533.0	167.0	-11.0
404	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	-466.0	142.0	12.0
407	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	-248.0	84.0	25.0
409	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	1.0	17.0	-17.0
411	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	176.0	-35.0	4.0
413	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	484.0	-119.0	35.0
416	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	706.0	-153.0	5.0
418	NaN	NaN	NaN	707.6	-46.7	-386.8	631.5	136.8	-515.2	667.3	-115.6	-486.2	351.0	-37.0	3.0
420	NaN	NaN	NaN	707.6	-46.6	-386.8	631.3	136.7	-515.3	667.3	-115.7	-486.3	-132.0	104.0	-11.0
422	NaN	NaN	NaN	707.6	-46.6	-386.8	631.3	136.7	-515.3	667.3	-115.7	-486.3	-463.0	156.0	-13.0
424	NaN	NaN	NaN	707.6	-46.6	-386.8	631.3	136.7	-515.3	667.3	-115.7	-486.3	-441.0	136.0	-6.0
