Record	test1
Application	Generic
Creation date	27/03/2024 14:36:45
Exercises	{
#	Name	Start,sec	Length,sec	Start time
1	Combined	0.000	33.680	14:35:14.97
}

Frequency,Hz	450.000
Count	15156

Time,ms	Marker 1.x,mm	Marker 1.y,mm	Marker 1.z,mm	Marker 2.x,mm	Marker 2.y,mm	Marker 2.z,mm	Marker 3.x,mm	Marker 3.y,mm	Marker 3.z,mm	Marker 4.x,mm	Marker 4.y,mm	Marker 4.z,mm	Biceps,mV	Triceps,mV	Flexor Digitorum,mV
Calibr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			

0	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	-337.0	121.0	-11.0
2	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	-581.0	157.0	-8.0
4	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	-468.0	128.0	-8.0
7	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	-224.0	77.0	-7.0
9	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	40.0	18.0	-18.0
11	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	166.0	-56.0	12.0
13	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	462.0	-150.0	62.0
16	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	569.0	-135.0	23.0
18	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.5	136.1	-514.9	667.1	-115.9	-486.9	168.0	-4.0	-19.0
20	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	-296.0	131.0	-12.0
22	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	-541.0	171.0	-26.0
24	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	-453.0	137.0	-14.0
27	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	-275.0	80.0	-10.0
29	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	-54.0	-5.0	16.0
31	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	113.0	-60.0	16.0
33	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	450.0	-157.0	19.0
36	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	574.0	-144.0	47.0
38	706.6	-45.8	-386.4	707.9	-46.5	-386.8	631.5	136.2	-514.8	667.1	-115.8	-486.8	158.0	-5.0	3.0
40	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	-340.0	129.0	-9.0
42	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	-585.0	158.0	-22.0
44	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	-490.0	141.0	-24.0
47	706.6	-46.0	-386.5	707.9	-46.5	-386.8	631.2	136.2	-515.3	667.0	-116.0	-487.0	-267.0	70.0	-17.0
